Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
-1513,,,,,,,,,Bible writing begins,,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1513,,,,,,,,,Genesis,"Moses, in the wilderness",https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1513,,,,,,,,,Law covenant,Mt. Sinai (Horeb),https://assetsnffrgf-a.akamaihd.net/assets/m/502015133/univ/art/502015133_univ_lsr_xl.jpg,,,,,Covenants,
-1513,,,,,,,,,Passover,,https://assetsnffrgf-a.akamaihd.net/assets/m/2013925/univ/art/2013925_univ_lsr_xl.jpg,,,,,Events,
-1513,,,,,,,,,Exodus from Egypt; Red Sea deliverance,,https://assetsnffrgf-a.akamaihd.net/assets/a/jdp/univ/wpub/jdp_univ_lg.jpg,,,,,Events,
-1512,,,,,,,,,Exodus and Leviticus,By Moses (Lev. 27:34; Num. 1:1),https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1512,,,,,,,,,Tabernacle construction completed,Ex. 40:17,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016035/univ/art/1102016035_univ_lsr_xl.jpg,,,,,Events,
-1512,,,,,,,,,Installation of the Aaronic priesthood,Lev. 8:34-36,https://assetsnffrgf-a.akamaihd.net/assets/m/402014843/univ/art/402014843_univ_lsr_xl.jpg,,,,,Events,
-1473,,,,,,,,About 1473 BCE,Moses completes the book of Job ,"Job 42:16, 17",https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1473,,,,,,,,,Moses completes Numbers on Plains of Moab,Num. 35:1; 36:13,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1473,,,,,,,,,Moses writes Deuteronomy,"Deut. 1:1, 3",https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1473,,,,,,,,,Covenant with Israel at Moab,Deut. 29:1,,,,,,Covenants,
-1473,,,,,,,,,Conquest of Jericho,Josh. 4:19,https://assetsnffrgf-a.akamaihd.net/assets/m/1101978100/univ/art/1101978100_univ_lsr_xl.jpg,,,,,Events,
-1473,,,,,,,,,Death of Moses,,,,,,,Persons,
-1467,,,,,,,,,Major conquest of the land completed,"Josh. 11:23; 14:7, Jos 14:10-15",https://wol.jw.org/en/wol/mp/r1/lp-e/it-1/2018/215,,,,,Events,
-1467,,,,,,,,1918-1467 BCE,‘About 450 years’ ends,Acts 13:17-20,,,,,,Time periods,
-1450,,,,,,,,About 1450 BCE,Book of Joshua completed,Josh. 1:1; 24:26,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1450,,,,,,,,About 1450 BCE,Death of Joshua,Josh. 24:29,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016039/univ/art/1102016039_univ_cnt_2_xl.jpg,,,,,Persons,
-1446,,,,,,,,,Cushan-rishathaim rules over Israel,the king of Mesopotamia <br>Jg 3:8,,,,,,Events,
-1438,,,,,,,,1438-1398 BCE (40 years),Othniel,1st judge of Israel<br> Jg 3:9,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
-1416,,,,,,,,,Eglon prevails over Israel,! Date need to be confirmed ! <br>Jg 3:12,,,,,,Events,
-1398,,,,,,,,1398-1318 BCE (80 years),Ehud,2nd judge of Israel<br> Jg 3:15,https://assetsnffrgf-a.akamaihd.net/assets/m/202021409/univ/art/202021409_univ_lsr_lg.jpg,,,,,Judges,
-1318,,,,,,,,1318-1278 BCE (40 years),Barak,3rd judge of Israel<br> Worked closely with prophetess Deborah<br>Jg 4:6,https://assetsnffrgf-a.akamaihd.net/assets/m/1101978104/univ/art/1101978104_univ_lsr_lg.jpg,,,,,Judges,
-1300,,,,,,,,Around 1300 BCE,Story of Ruth,The story spans some 11 years,https://assetsnffrgf-a.akamaihd.net/assets/m/2012730/univ/art/2012730_univ_cnt_4_xl.jpg,,,,,Events,
-1300,,,,,,,,Around 1300 BCE,Story of Naomi and Ruth,11 years,https://assetsnffrgf-a.akamaihd.net/assets/m/502012396/univ/art/502012396_univ_lsr_lg.jpg,,,,,Events,
-1279,,,,,,,,,Shamgar,4th judge of Israel <br>Jg 3:31,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
-1278,,,,,,,,1278-1238 BCE (40 years),Gideon,5th judge of Israel <br>Jg 6:11,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016044/univ/art/1102016044_univ_lsr_xl.jpg,,,,,Judges,
-1238,,,,,,,,1238-1215 BCE (23 years),Tola,12th judge of Israel <br>,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
-1215,,,,,,,,1215-1193 BCE (22 years),Jair,11th judge of Israel <br>,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
-1193,,,,,,,,1193-1187 BCE (6 years),Jephthaph,10th judge of Israel <br>,https://assetsnffrgf-a.akamaihd.net/assets/m/1101978107/univ/art/1101978107_univ_cnt_2_xl.jpg,,,,,Judges,
-1187,,,,,,,,1187-1158 (29 years),Ibzan,9th judge of Israel <br>Jg 12:8,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
